transaction_id,customer_id,product_id,price,product_name_trans,category_trans,purchase_location,city,transaction_date,quantity,payment_method,discount,payment_status,customer_name_masked,email_masked,phone_masked,product_name_prod,category_prod,product_name_standardized,revenue,cost_ratio,total_cost,profit,profit_margin_pct,transaction_year,transaction_month,transaction_week,day_of_week,discount_rate
1,642,108,15000.0,Mixer Grinder,Home Appliances,offline,Bangalore,2025-12-06,3,Upi,0.1,Successful,15c83b507c966364,a87bccf6a4de7779,e7c4181adffa91f3,Mixer Grinder,Home Appliances,Mixer Grinder,44999.9,0.7,31499.999999999996,13499.900000000005,29.999844444098777,2025,12,49,Saturday,2.2222222222222225e-06
2,881,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,Successful,2d86da100e00bd30,d6fc5d08860c077a,4cde34523a9fc2a4,Phone,Electronics,Phone,349999.65,0.8,280000.0,69999.65000000002,19.999919999920003,2025,7,30,Monday,1e-06
3,505,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,Upi,0.05,Successful,7fc48019756e01ce,d96af4c7aff29331,02c08be444df77f0,Refrigerator,Home Appliances,Refrigerator,129999.95,0.7,91000.0,38999.95,29.999973076912724,2025,7,28,Friday,3.8461538461538463e-07
4,794,106,80000.0,Sofa,Furniture,offline,Chennai,2025-10-06,2,Upi,0.05,Successful,0a81f4044db8b5e6,333ebcacde36c575,0aebb669d858444d,Sofa,Furniture,Sofa,159999.95,0.6,96000.0,63999.95000000001,39.99998124999414,2025,10,41,Monday,3.125e-07
5,864,108,15000.0,Mixer Grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,Successful,56ec1a8536f3780a,137fa35a77842f86,d7602d0d62406ae5,Mixer Grinder,Home Appliances,Mixer Grinder,14999.95,0.7,10500.0,4499.950000000001,29.999766665888888,2025,12,50,Friday,3.3333333333333333e-06
6,181,101,250000.0,Laptop,Electronics,online,Delhi,2025-07-25,5,Netbanking,0.35,Successful,b375d16e88730163,0d096fb5de5f2b8a,d6d88ef6eb5ac1df,Laptop,Electronics,Laptop,1249999.65,0.8,1000000.0,249999.6499999999,19.99997759999372,2025,7,30,Friday,2.7999999999999997e-07
7,142,101,250000.0,Laptop,Electronics,online,Hyderabad,2026-03-03,2,Upi,0.05,Successful,005b25a9ad3ea672,76bdc12d772085b3,7c8a3e3bdb278656,Laptop,Electronics,Laptop,499999.95,0.8,400000.0,99999.95000000001,19.999991999999203,2026,3,10,Tuesday,1.0000000000000001e-07
8,457,102,70000.0,Phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Successful,f42e4ebacef944d4,6f10365a4404fd1e,de74b021e979689e,Phone,Electronics,Phone,69999.95,0.8,56000.0,13999.949999999997,19.999942857102038,2026,2,8,Thursday,7.142857142857143e-07
9,749,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,Successful,25679d92f4db838b,ccc7a48e69566f8b,d28369f75e649576,Microwave,Home Appliances,Microwave,134999.7,0.7,94500.0,40499.70000000001,29.999844444098773,2025,8,35,Saturday,2.222222222222222e-06
10,146,102,70000.0,Phone,Electronics,offline,Bangalore,2025-12-16,2,Upi,0.4,Successful,39bca369a77ba82d,0b2b75ef42319154,fa72b76280fc634b,Phone,Electronics,Phone,139999.6,0.8,112000.0,27999.600000000006,19.99977142791837,2025,12,51,Tuesday,2.8571428571428573e-06
11,946,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,Successful,1f26872460164033,e8689f80a6f1fad1,50b51ff3729e54da,Shoes,Clothing,Shoes,31999.7,0.5,16000.0,15999.7,49.999531245605425,2025,12,51,Monday,9.375e-06
12,757,106,80000.0,Sofa,Furniture,online,Hyderabad,2025-06-30,3,Upi,0.25,Successful,708e375d27e90b35,8d62febe3a830a60,895c3a1e3f34c3b1,Sofa,Furniture,Sofa,239999.75,0.6,144000.0,95999.75,39.999937499934894,2025,6,27,Monday,1.0416666666666667e-06
13,838,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,Successful,652b4e3193cb56fe,1412c751bea4e7c5,278bd919e728e14d,Refrigerator,Home Appliances,Refrigerator,324999.65,0.7,227500.0,97499.65000000002,29.999924615303435,2025,6,24,Saturday,1.0769230769230769e-06
14,117,109,65000.0,Refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,Successful,142a33de1cb1a311,bb8e881b4081a64f,188dec7ec4b94a3a,Refrigerator,Home Appliances,Refrigerator,324999.8,0.7,227500.0,97499.79999999999,29.999956923050412,2026,2,9,Tuesday,6.153846153846154e-07
15,923,109,65000.0,Refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,Upi,0.25,Successful,41f51780c6849ad8,0dd73cd21327b76d,977e3f8cf30ecd47,Refrigerator,Home Appliances,Refrigerator,324999.75,0.7,227500.0,97499.75,29.999946153804736,2026,1,5,Saturday,7.692307692307693e-07
16,765,104,8000.0,Shoes,Clothing,offline,Bangalore,2025-08-20,5,Netbanking,0.15,Successful,5201de8290ff192c,2d40a0319f649ad8,eeb6d596857913f8,Shoes,Clothing,Shoes,39999.85,0.5,20000.0,19999.85,49.99981249929687,2025,8,34,Wednesday,3.7499999999999997e-06
17,570,102,70000.0,Phone,Electronics,offline,Chennai,2025-05-19,3,Netbanking,0.15,Successful,0d7ce5d8dc70dbea,c228f8b0a22cd75b,c1ff7c406c743863,Phone,Electronics,Phone,209999.85,0.8,168000.0,41999.850000000006,19.99994285710204,2025,5,21,Monday,7.142857142857142e-07
18,973,108,15000.0,Mixer Grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,Successful,c6aff482ba466372,b5f23383ce15dbb4,e3b7d179e4a3adbc,Mixer Grinder,Home Appliances,Mixer Grinder,29999.85,0.7,21000.0,8999.849999999999,29.99964999824999,2025,5,20,Thursday,4.9999999999999996e-06
19,786,103,1300.0,Shirt,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,Successful,060999ef3fa99af1,8ba1b2f9859265b2,3e88381c89bc7092,Shirt,Clothing,Shirt,5199.8,0.5,2600.0,2599.8,49.99807684910959,2025,9,36,Sunday,3.846153846153846e-05
20,576,104,8000.0,Shoes,Clothing,online,Delhi,2025-07-05,1,Card,0.15,Successful,251c5583cb06f350,3909776fc4ae2402,96330dd5131f93ef,Shoes,Clothing,Shoes,7999.85,0.5,4000.0,3999.8500000000004,49.99906248242155,2025,7,27,Saturday,1.875e-05
21,256,109,65000.0,Refrigerator,Home Appliances,online,Chennai,2025-12-10,3,Upi,0.05,Successful,ba6279c5d461c04f,4624b59729cfd34c,de8ce019b5ebd822,Refrigerator,Home Appliances,Refrigerator,194999.95,0.7,136500.0,58499.95000000001,29.999982051277453,2025,12,50,Wednesday,2.564102564102564e-07
22,737,109,65000.0,Refrigerator,Home Appliances,online,Delhi,2025-03-11,4,Upi,0.4,Successful,19af161ee9c2481d,e8053f0e22bf13e4,ec1cf3b8390bc311,Refrigerator,Home Appliances,Refrigerator,259999.6,0.7,182000.0,77999.6,29.999892307526626,2025,3,11,Tuesday,1.5384615384615385e-06
